MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
futur	future	Zukunft	Q344	https://www.wikidata.org/wiki/Q344	futur	future	Zukunft	Seklit
galanterie	gallantary	Courtoisie	Q1627417	https://www.wikidata.org/wiki/Q1627417	galanterie	gallantary	Courtoisie	BGRF
génération	generation	Generation	Q213381	https://www.wikidata.org/wiki/Q213381	génération	generation	Generation	DEL
génie	genius	Genie	Q185030	https://www.wikidata.org/wiki/Q185030	génie	genius	Genie	DEL
géographie	geography	Geographie	Q1071	https://www.wikidata.org/wiki/Q1071	géographie	Geography	Geographie	DEL
géologie	geology	Geologie	Q1069	https://www.wikidata.org/wiki/Q1069	géologie	geology	Geologie	DEL
géométrie	geometry	Geometrie	Q8087	https://www.wikidata.org/wiki/Q8087	géométrie	geometry	Geometrie	DEL
goût	taste	Geschmack	Q1143012	https://www.wikidata.org/wiki/Q1143012	goût	taste	Geschmack	DEL
gouvernement	government	Regierung	Q7188	https://www.wikidata.org/wiki/Q7188	gouvernement	government	Regierung	DEL
grammaire	grammar	Grammatik	Q8091	https://www.wikidata.org/wiki/Q8091	grammaire	grammar	Grammatik	DEL
Grand Tour	Grand Tour	Grand Tour	Q6682302	https://www.wikidata.org/wiki/Q6682302	Grand Tour	Grand Tour	Grand Tour	DEL
grotesque	grotesque	Groteske	Q218248	https://www.wikidata.org/wiki/Q218248	Grotesque	Grotesque	Groteske	DEL
guerre	war	Krieg	Q198	https://www.wikidata.org/wiki/Q198	guerre	war	Krieg	DEL
haine	hatred	Hass	Q160232	https://www.wikidata.org/wiki/Q160232	haine	hatred	Hass	Seklit
héros	hero	Held	Q162244	https://www.wikidata.org/wiki/Q162244	héros	hero	Held	DEL
histoire	history	Geschichte	Q309	https://www.wikidata.org/wiki/Q309	histoire	history	Geschichte	DEL
histoire naturelle	natural history	Naturgeschichte	Q484591	https://www.wikidata.org/wiki/Q484591	Histoire naturelle	Natural history	Naturgeschichte	DEL
Hollande	Netherlands	Niederlande	Q55	https://www.wikidata.org/wiki/Q55	Pays-Bas	Netherlands	Niederlande	DEL
Hongrie	Hungary	Ungarn	Q28	https://www.wikidata.org/wiki/Q28	Hongrie	Hungary	Ungarn	DEL
hôpital	hospital	Krankenhaus	Q16917	https://www.wikidata.org/wiki/Q16917	hôpital	hospital	Krankenhaus	DEL
humanité	humanity	Menschlichkeit	Q17027938	https://www.wikidata.org/wiki/Q17027938	humanité	humanity	Menschlichkeit	Seklit
hypocrisie	hypocrisy	Heuchelei	Q201650	https://www.wikidata.org/wiki/Q201650	hypocrisie	hypocrisy	Heuchelei	Seklit
idéal	ideal	Ideal	Q840396	https://www.wikidata.org/wiki/Q840396	idéal	ideal	Ideal	DEL
idée	idea	Idee	Q131841	https://www.wikidata.org/wiki/Q131841	idée	idea	Idee	DEL
identité	identity	Identität	Q844569	https://www.wikidata.org/wiki/Q844569	Identité	identity	Identität	Seklit
idéologie	ideology	Ideologie	Q7257	https://www.wikidata.org/wiki/Q7257	idéologie	ideology	Ideologie	DEL
idolâtrie	idolatry	Idolatrie	Q840665	https://www.wikidata.org/wiki/Q840665	idolâtrie	Idolatry	Götze	DEL
île	island	Insel	Q23442	https://www.wikidata.org/wiki/Q23442	île	island	Insel	DEL
illusion	illusion	Illusion	Q182593	https://www.wikidata.org/wiki/Q182593	illusion	illusion	Illusion	Seklit
illustration	illustration	Illustration	Q178659	https://www.wikidata.org/wiki/Q178659	Illustration	Illustration	Illustration	DEL
imagination	imagination	Imagination	Q34516	https://www.wikidata.org/wiki/Q34516	Imagination	Imagination	Imagination	DEL
